collection_date,pangolin_call
2020-10-15,B.1.177.54
2020-10-17,B.1.177
2020-10-17,B.1.1.279
2020-10-16,AD.2
2020-10-17,B.1.177
2020-10-18,B.1.177.81
2020-10-18,B.1.177.54
2020-10-18,B.1.177
2020-10-22,B.1.177.4
2020-10-31,B.1.177.54
2020-11-01,B.1.177.4
2020-11-05,B.1.160
2020-11-04,B.1.160
2020-11-12,B.1.367
2020-10-05,B.1.177
2020-10-05,B.1.1.311
2020-10-06,B.1.177
2020-10-07,B.1.177
2020-10-05,B.1.1.307
2020-10-05,C.30
2020-10-05,B.1.177.4
2020-10-05,C.30
2020-10-07,B.1.258
2020-10-06,B.1.1.37
2020-10-12,B.1.177
2020-10-12,B.1.177.16
2020-10-12,B.1.177
2020-10-12,B.1.1.307
2020-10-12,B.1.1.307
2020-10-12,B.1.1.307
2020-10-11,B.1.177
2020-10-13,B.1.160
2020-10-12,B.1.177.56
2020-10-13,B.1.1.279
2020-10-20,B.1.177
2020-10-20,B.1.1.37
2020-10-21,B.1.177
2020-10-21,B.1.177.4
2021-07-20,AY.4
2021-07-19,AY.4
2021-07-20,AY.4
2021-07-19,AY.4
2021-07-18,AY.4
2021-07-18,AY.5
2021-07-20,AY.120
2021-07-20,AY.4
2021-07-19,AY.5
2021-07-19,B.1.617.2
2021-07-15,AY.43
2021-07-19,AY.4
2021-07-18,AY.4
2021-07-18,AY.4
2021-07-18,AY.4
2021-07-19,AY.4
2021-07-20,AY.4
2021-07-19,AY.4
2021-07-20,AY.4
2021-07-18,AY.4
2021-07-20,AY.4
2021-07-18,AY.4
2021-07-20,AY.4
2021-07-17,AY.4
2021-07-20,AY.4
2021-07-20,AY.4
2021-07-19,AY.5
2021-07-18,AY.4
2021-07-19,AY.4
2021-07-20,AY.4
2021-07-19,AY.4
2021-07-17,AY.4
2021-07-19,AY.4
2021-07-20,AY.4
2021-07-19,AY.4
2021-07-20,AY.4
2021-07-20,AY.4
2021-07-20,AY.9
2021-07-20,AY.4
2021-07-19,AY.4
2021-07-16,AY.4
2021-07-19,AY.4
2021-07-18,AY.5
2021-07-19,AY.4
2021-07-20,AY.4
2021-07-19,AY.4
2021-07-20,AY.4
2021-07-18,AY.4
2021-07-18,AY.4
2021-07-18,AY.5
2021-07-19,AY.4
2021-07-19,AY.5
2021-07-17,AY.4.2
2021-07-19,AY.4
2021-07-20,AY.4
2021-07-20,AY.4
2021-07-18,AY.4
2021-07-18,AY.6
2021-07-18,AY.4
2021-07-18,AY.4
2021-07-19,AY.4
2021-07-19,AY.4
2021-07-18,AY.6
2021-07-18,AY.4
2021-07-18,AY.4
2021-07-20,AY.4
2021-07-18,AY.4
2021-07-18,AY.4
2021-07-20,AY.4
2021-07-19,AY.7
2021-07-19,AY.4
2021-07-18,AY.4
2021-07-18,AY.5
2021-07-18,AY.4
2021-07-19,AY.4
2021-07-19,AY.4
2021-07-20,AY.4
2021-07-19,AY.4
2021-07-18,AY.4
2021-07-18,AY.6
2021-07-20,AY.6
2021-07-17,AY.4.2
2021-07-20,AY.4
2021-07-19,AY.4
2021-07-19,AY.4
2021-07-19,AY.4
2021-07-18,AY.4
2021-07-18,AY.4
2021-07-19,AY.4
2021-07-19,AY.4
2021-07-19,AY.4
2021-07-18,AY.4
2021-07-20,AY.4
2021-07-18,AY.4
2021-07-18,AY.126
2021-07-19,AY.4
2021-07-20,AY.4
2021-07-19,AY.4
2021-07-20,AY.4
2021-07-19,AY.5
2021-07-19,AY.4
2021-07-19,AY.5
2021-07-20,AY.4
2021-07-18,AY.4
2021-07-20,AY.4
2021-07-20,AY.4
2021-07-20,AY.4
2021-07-19,AY.4
2021-07-20,AY.4
2021-07-19,AY.9
2021-07-19,AY.4
2021-07-20,AY.4
2021-07-20,AY.4
2021-07-20,AY.4
2021-07-18,AY.4
2021-07-17,AY.4
2021-07-19,AY.4
2021-07-18,AY.4
2021-07-20,AY.4
2021-07-20,AY.4
2021-07-19,AY.4
2021-07-19,AY.4
2021-07-19,AY.4.5
2021-07-19,AY.4
2021-07-20,AY.4
2021-07-19,AY.4
2021-07-19,AY.6
2021-07-19,AY.4
2021-07-18,AY.4
2021-07-19,AY.9
2021-07-20,AY.4
2021-07-20,AY.4
2021-07-20,AY.4
2021-07-19,AY.4
2021-07-20,AY.4
2021-07-20,AY.4
2021-07-19,AY.9
2021-07-19,AY.4
2021-07-20,AY.4
2021-07-20,AY.5
2021-07-20,AY.4
2021-07-18,AY.4
2021-07-19,AY.4
2021-07-20,AY.4
2021-07-20,AY.4
2021-07-19,AY.4
2021-07-18,AY.4
2021-07-20,AY.4
2021-07-19,AY.4
2021-07-19,AY.4
2021-07-20,AY.9
2021-07-19,AY.4
2021-07-18,AY.4
2021-07-19,AY.4
2021-07-19,AY.120
2021-07-18,AY.4
2021-07-20,AY.5
2021-07-20,AY.4
2021-07-18,AY.4
2021-07-19,AY.4
2021-07-20,AY.4
2021-07-20,AY.4
2021-07-20,AY.98
2021-07-18,AY.4
2021-07-20,AY.4
2021-07-20,AY.4
2021-07-19,AY.5
2021-07-18,AY.4
2021-07-22,AY.4
2021-07-21,AY.4
2021-07-23,AY.5
2021-07-23,AY.4
2021-07-23,AY.4
2021-07-22,AY.120
2021-07-23,AY.98
2021-07-22,AY.4
2021-07-23,AY.4
2021-07-23,AY.6
2021-07-23,AY.111
2021-07-21,AY.4
2021-07-23,AY.4
2021-07-23,AY.4
2021-07-23,AY.4
2021-07-22,AY.4
2021-07-22,AY.4
2021-07-21,AY.9
2021-07-21,AY.4
2021-07-23,AY.4
2021-07-22,AY.4
2021-07-23,AY.4
2021-07-22,AY.4
2021-07-23,AY.4
2021-07-22,AY.4
2021-07-23,AY.4
2021-07-22,AY.7
2021-07-23,AY.4
2021-07-23,AY.4
2021-07-23,AY.4
2021-07-23,B.1.617.2
2021-07-23,AY.4
2021-07-22,AY.4
2021-07-23,AY.4
2021-07-23,AY.4
2021-07-22,AY.4
2021-07-23,AY.5
2021-07-22,AY.4
2021-07-23,AY.4
2021-07-23,AY.4
2021-07-21,AY.4
2021-07-23,AY.4
2021-07-21,AY.4
2021-07-22,AY.4
2021-07-23,AY.4
2021-07-23,AY.120
2021-07-23,AY.6
2021-07-23,AY.4
2021-07-21,AY.4
2021-07-22,AY.4
2021-07-22,AY.87
2021-07-23,AY.9
2021-07-23,AY.7
2021-07-21,AY.4
2021-07-22,AY.7
2021-07-22,AY.4
2021-07-21,AY.4
2021-07-23,AY.4
2021-07-22,AY.4
2021-07-23,AY.4
2021-07-23,AY.4
2021-07-22,AY.4
2021-07-23,AY.4
2021-07-23,AY.4
2021-07-22,AY.122
2021-07-23,AY.4
2021-07-23,AY.4
2021-07-23,AY.4
2021-07-23,AY.98
2021-07-23,AY.4
2021-07-23,AY.6
2021-07-22,AY.4
2021-07-22,AY.122
2021-07-23,AY.4
2021-07-23,AY.4
2021-07-22,AY.4
2021-07-23,AY.6
2021-07-22,AY.4
2021-07-22,AY.4
2021-07-23,AY.122
2021-07-23,AY.4
2021-07-22,AY.4
2021-07-23,AY.4
2021-07-22,AY.4
2021-07-23,AY.4
2021-07-21,AY.9
2021-07-21,AY.4.2
2021-07-21,AY.4
2021-07-23,AY.4
2021-07-22,AY.4
2021-07-19,AY.4
2021-07-20,AY.4
2021-07-18,AY.4
2021-07-20,AY.4
2021-07-21,AY.4
2021-07-21,AY.4
2021-07-19,AY.4
2021-07-19,AY.4
2021-07-18,AY.4
2021-07-18,B.1.617.2
2021-07-18,AY.4
2021-07-18,AY.4
2021-07-21,AY.4
2021-07-19,AY.4
2021-07-19,AY.4
2021-07-18,AY.4
2021-07-19,AY.4
2021-07-17,AY.4
2021-07-17,AY.4
2021-07-19,AY.4
2021-07-21,AY.4
2021-07-20,AY.4
2021-07-18,AY.120
2021-07-19,AY.4
2021-07-18,AY.4
2021-07-21,AY.4
2021-07-19,AY.87
2021-07-21,AY.4
2021-07-20,AY.4
2021-07-18,AY.4
2021-07-18,AY.98
2021-07-17,AY.4
2021-07-21,AY.4
2021-07-21,AY.4
2021-07-21,AY.6
2021-07-18,AY.5
2021-07-18,AY.4
2021-07-22,AY.4
2021-07-21,AY.98
2021-07-18,AY.4
2021-07-19,AY.4
2021-07-18,AY.98
2021-07-18,AY.4
2021-07-19,AY.4
2021-07-19,AY.4
2021-07-20,AY.3
2021-07-21,AY.4
2021-07-18,AY.4
2021-07-18,AY.98
2021-07-18,AY.4
2021-07-19,AY.98
2021-07-17,AY.7
2021-07-21,AY.98
2021-07-17,AY.4
2021-07-18,AY.4
2021-07-19,AY.120
2021-07-18,AY.5
2021-07-20,AY.6
2021-07-21,AY.4
2021-07-18,AY.4
2021-07-18,AY.4
2021-07-18,AY.6
2021-07-21,AY.4
2021-07-20,AY.4
2021-07-20,AY.4
2021-07-18,AY.98
2021-07-19,AY.120
2021-07-17,AY.122
2021-07-18,AY.4
2021-07-19,AY.5
2021-07-21,AY.4
2021-07-20,AY.4
2021-07-19,AY.7
2021-07-21,AY.6
2021-07-21,AY.4
2021-07-18,AY.4
2021-07-19,AY.4
2021-07-20,AY.4
2021-07-21,AY.4
2021-07-19,AY.120
2021-07-18,AY.5
2021-07-17,AY.4
2021-07-20,AY.4
2021-07-19,AY.4
2021-07-19,AY.4
2021-07-19,AY.4
2021-07-19,AY.4
2021-07-20,AY.4
2021-07-18,AY.4
2021-07-21,AY.4
2021-07-21,AY.4
2021-07-21,AY.4
2021-07-21,AY.6
2021-07-20,AY.4
2021-07-20,AY.98
2021-07-21,AY.4
2021-07-20,AY.4
2021-07-21,AY.4
2021-07-21,AY.4
2021-07-20,AY.5
2021-07-18,AY.4
2021-07-21,AY.4
2021-07-21,AY.4
2021-07-21,AY.4
2021-07-20,AY.4
2021-07-19,AY.4
2021-07-20,AY.6
2021-07-21,AY.4
2021-07-18,AY.4
2021-07-20,AY.6
2021-07-19,AY.4
2021-07-21,AY.4
2021-07-20,AY.6
2021-07-19,AY.4
2021-07-20,AY.4
2021-07-21,AY.4
2021-07-19,AY.4
2021-07-21,AY.4
2021-07-20,AY.6
2021-07-19,AY.4
2021-07-18,AY.4
2021-07-20,AY.4
2021-07-18,AY.4
2021-07-21,AY.4
2021-07-21,AY.5
2021-07-21,AY.4
2021-07-19,AY.4
2021-07-21,AY.4
2021-07-20,AY.5
2021-07-21,AY.4
2021-07-20,AY.4
2021-07-20,AY.4
2021-07-20,AY.5
2021-07-21,AY.4
2021-07-19,AY.9
2021-07-19,AY.6
2021-07-20,AY.120
2021-07-21,AY.4
2021-07-19,AY.46.5
2021-07-21,AY.120
2021-07-18,AY.4
2021-07-20,AY.6
2021-07-18,AY.4
2021-07-20,AY.4
2021-07-21,AY.4
2021-07-19,AY.4
2021-07-21,AY.4
2021-07-19,AY.5
2021-07-19,AY.4
2021-07-21,AY.4
2021-07-19,AY.4
2021-07-21,AY.4
2021-07-19,AY.4
2021-07-20,AY.4
2021-07-20,AY.4
2021-07-21,AY.4
2021-07-20,AY.4
2021-07-19,AY.4
2021-07-18,AY.4
2021-07-21,AY.6
2021-07-20,AY.46.5
2021-07-21,AY.4
2021-07-20,AY.4
2021-07-19,AY.4
2021-07-19,AY.7
2021-07-19,B.1.617.2
2021-07-21,AY.4
2021-07-20,AY.4
2021-07-21,AY.4
2021-07-20,AY.5
2021-07-21,AY.4
2021-07-20,AY.4
2021-07-19,B.1.617.2
2021-07-21,AY.4
2021-07-21,AY.11
2021-07-20,AY.4
2021-07-21,AY.4
2021-07-21,AY.4
2021-07-19,AY.5
2021-07-21,AY.4
2021-07-21,AY.4
2021-07-21,AY.4
2021-07-21,AY.4
2021-07-21,AY.4
2021-07-19,AY.5
2021-07-18,AY.4
2021-07-22,AY.4
2021-07-21,AY.4
2021-07-21,AY.4
2021-07-19,AY.4
2021-07-21,AY.98
2021-07-20,AY.4
2021-07-21,AY.4
2021-07-20,AY.5
2021-07-22,AY.4
2021-07-19,AY.4
2021-07-19,AY.5
2021-07-21,AY.4
2021-07-22,AY.4
2021-07-19,AY.4
2021-07-20,AY.4
2021-07-21,AY.5
2021-07-22,AY.5
2021-07-21,AY.4
2021-07-20,AY.5
2021-07-20,AY.5
2021-07-21,AY.4
2021-07-21,AY.4
2021-07-21,AY.4
2021-07-18,AY.4
2021-07-22,AY.4
2021-07-21,AY.4
2021-07-21,AY.4
2021-07-22,AY.4
2021-07-22,AY.4
2021-07-19,AY.4
2021-07-19,B.1.617.2
2021-07-22,AY.4
2021-07-21,AY.4
2021-07-20,AY.5
2021-07-22,AY.4
2021-07-20,AY.4
2021-07-21,AY.4
2021-07-21,AY.98
2021-07-24,AY.4
2021-07-23,AY.4
2021-07-24,AY.5
2021-07-22,AY.4
2021-07-21,AY.43
2021-07-24,AY.111
2021-07-24,AY.9
2021-07-24,AY.4
2021-07-24,AY.6
2021-07-23,AY.4
2021-07-23,AY.4
2021-07-23,AY.4
2021-07-22,AY.4
2021-07-22,AY.4
2021-07-22,AY.120
2021-07-21,AY.4
2021-07-23,AY.4
2021-07-22,AY.4
2021-07-21,AY.4
2021-07-23,AY.4
2021-07-23,AY.98
2021-07-22,AY.4
2021-07-22,AY.4
2021-07-23,AY.4
2021-07-24,AY.4
2021-07-24,AY.5
2021-07-21,AY.4
2021-07-22,AY.4
2021-07-24,AY.4
2021-07-22,AY.4
2021-07-23,AY.4
2021-07-22,AY.4
2021-07-22,AY.4
2021-07-23,AY.4
2021-07-24,AY.4
2021-07-23,AY.4
2021-07-24,AY.5
2021-07-22,AY.4
2021-07-21,AY.4
2021-07-23,AY.4
2021-07-23,AY.4
2021-07-23,AY.4
2021-07-22,AY.4
2021-07-22,AY.4
2021-07-24,AY.4
2021-07-22,AY.4
2021-07-23,AY.4
2021-07-24,AY.4
2021-07-23,AY.4
2021-07-24,AY.4
2021-07-22,AY.5
2021-07-23,AY.4
2021-07-24,AY.4
2021-07-23,AY.4
2021-07-22,AY.5
2021-07-23,AY.4
2021-07-23,AY.4
2021-07-22,AY.6
2021-07-21,AY.4
2021-07-22,AY.42
2021-07-21,AY.4
2021-07-23,AY.120
2021-07-24,AY.4
2021-07-24,B.1.617.2
2021-07-23,AY.9
2021-07-24,AY.4
2021-07-24,AY.4
2021-07-23,AY.5
2021-07-24,AY.5
2021-07-23,AY.4
2021-07-24,AY.4
2021-07-22,AY.4
2021-07-22,AY.4
2021-07-23,AY.4
2021-07-21,AY.4
2021-07-22,AY.4
2021-07-24,AY.4
2021-07-22,AY.4
2021-07-21,AY.6
2021-07-24,AY.4.2
2021-07-22,AY.5
2021-07-22,AY.4
2021-07-22,AY.4
2021-07-23,AY.98
2021-07-22,AY.4
2021-07-23,AY.4
2021-07-22,AY.4
2021-07-22,AY.4
2021-07-21,AY.120
2021-07-22,AY.4
2021-07-26,B.1.630
2021-07-25,AY.4
2021-07-26,AY.4
2021-07-26,AY.4
2021-07-25,AY.5
2021-07-27,AY.4
2021-07-28,AY.4
2021-07-28,AY.6
2021-07-26,AY.4
2021-07-28,AY.4
2021-07-27,AY.4
2021-07-29,AY.4
2021-07-28,AY.4
2021-07-28,AY.4
2021-07-27,AY.4
2021-07-26,AY.5
2021-07-25,AY.4.1
2021-07-26,AY.5
2021-07-25,AY.98
2021-07-26,AY.46
2021-07-29,AY.4
2021-07-28,AY.4
2021-07-28,AY.4
2021-07-25,AY.4
2021-07-27,AY.4
2021-07-28,AY.4
2021-07-27,AY.4
2021-07-28,AY.4
2021-07-29,AY.4
2021-07-25,AY.4
2021-07-26,AY.98
2021-07-29,AY.4
2021-07-28,AY.98
2021-07-25,AY.98
2021-07-24,AY.5
2021-07-28,AY.4
2021-07-25,AY.4
2021-07-28,AY.4
2021-07-22,AY.4
2021-07-28,AY.4
2021-07-29,AY.5
2021-07-28,AY.4
2021-07-27,AY.4
2021-07-28,AY.98
2021-07-25,AY.4
2021-07-25,AY.4
2021-07-27,AY.98
2021-07-29,AY.98
2021-07-29,AY.4
2021-07-29,AY.4
2021-07-28,AY.4
2021-07-27,AY.4
2021-07-29,AY.4
2021-07-29,AY.4
2021-07-27,AY.4
2021-07-29,AY.120
2021-07-29,AY.4
2021-07-24,AY.87
2021-07-24,AY.4
2021-07-25,AY.4.1
2021-07-29,AY.4
2021-07-28,AY.4
2021-07-27,AY.4
2021-07-29,AY.98
2021-07-29,AY.4
2021-07-27,AY.4
2021-07-25,AY.4
2021-07-28,AY.6
2021-07-29,AY.4
2021-07-27,AY.98.1
2021-07-28,AY.5
2021-07-28,AY.98
2021-07-28,AY.4
2021-07-28,AY.4
2021-07-24,AY.4
2021-07-28,AY.4
2021-07-29,AY.4
2021-07-29,B.1.617.2
2021-07-28,AY.4
2021-07-29,AY.5
2021-07-29,AY.4
2021-07-27,AY.4
2021-07-24,AY.4
2021-07-29,AY.4
2021-07-28,AY.6
2021-07-29,AY.98
2021-07-23,AY.5
2021-07-25,AY.4
2021-07-26,AY.4
2021-07-25,AY.4
2021-07-24,B.1.617.2
2021-07-25,AY.4
2021-07-26,AY.9.2
2021-07-26,AY.7
2021-07-25,AY.4
2021-07-25,AY.4
2021-07-24,AY.5
2021-07-24,AY.4
2021-07-23,AY.4
2021-07-26,AY.4
2021-07-26,AY.4
2021-07-26,AY.4
2021-07-25,AY.6
2021-07-25,AY.4
2021-07-24,AY.4
2021-07-23,AY.4
2021-07-25,AY.4
2021-07-25,AY.6
2021-07-23,AY.4
2021-07-25,AY.4
2021-07-25,AY.4
2021-07-24,AY.7
2021-07-26,AY.4
2021-07-25,AY.4
2021-07-23,AY.4
2021-07-25,AY.4
2021-07-23,AY.4
2021-07-25,AY.4
2021-07-25,AY.6
2021-07-25,AY.4
2021-07-25,AY.4.13
2021-07-24,AY.6
2021-07-24,AY.4
2021-07-25,AY.4
2021-07-23,AY.4
2021-07-25,AY.4
2021-07-26,AY.4
2021-07-25,AY.4
2021-07-25,AY.4
2021-07-24,AY.4
2021-07-24,AY.4
2021-07-26,AY.6
2021-07-22,AY.4
2021-07-24,AY.4
2021-07-25,AY.4
2021-07-26,AY.4
2021-07-25,AY.4
2021-07-26,AY.4
2021-07-24,AY.4
2021-07-24,AY.4
2021-07-26,AY.4
2021-07-24,AY.4
2021-07-24,AY.4
2021-07-26,AY.5
2021-07-24,AY.7
2021-07-24,AY.4
2021-07-24,AY.4
2021-07-25,AY.4
2021-07-25,AY.98
2021-07-25,AY.6
2021-07-26,AY.4
2021-07-25,AY.4
2021-07-25,AY.4
2021-07-25,AY.46.5
2021-07-26,AY.4
2021-07-26,AY.4
2021-07-25,AY.4
2021-07-23,AY.4
2021-07-25,AY.4
2021-07-23,AY.9
2021-07-25,AY.4
2021-07-25,AY.4
2021-07-22,AY.4
2021-07-25,AY.98
2021-07-25,AY.4
2021-07-25,AY.4
2021-07-25,AY.5
2021-07-25,AY.6
2021-07-26,AY.4
2021-07-26,AY.4
2021-07-25,AY.4
2021-07-25,AY.4
2021-07-24,AY.4
2021-07-30,AY.4.2
2021-07-30,AY.9
2021-07-26,AY.4
2021-07-29,AY.4
2021-07-30,AY.120
2021-07-27,AY.4
2021-07-30,AY.4
2021-07-26,AY.4
2021-07-30,AY.4
2021-07-26,AY.4
2021-07-26,AY.120
2021-07-29,AY.4
2021-07-26,AY.4
2021-07-27,AY.4
2021-07-29,AY.4
2021-07-27,AY.4
2021-07-30,AY.4
2021-07-30,AY.4
2021-07-26,AY.9
2021-07-29,AY.4
2021-07-27,AY.4
2021-07-29,AY.4
2021-07-27,AY.4
2021-07-29,AY.7
2021-07-30,AY.4
2021-07-26,AY.4
2021-07-28,AY.4
2021-07-27,AY.4
2021-07-30,AY.4
2021-07-26,AY.4
2021-07-30,AY.4
2021-07-30,AY.4
2021-07-27,AY.4
2021-07-29,AY.4
2021-07-30,AY.4
2021-07-29,AY.4
2021-07-30,AY.4
2021-07-27,AY.5
2021-07-30,AY.98
2021-07-30,AY.4
2021-07-30,AY.4
2021-07-29,AY.4
2021-07-29,AY.4
2021-07-30,AY.4
2021-07-26,AY.4
2021-07-26,AY.4
2021-07-29,AY.6
2021-07-27,AY.4
2021-07-27,AY.98
2021-07-27,AY.5
2021-07-30,AY.6
2021-07-29,AY.4
2021-07-26,AY.6
2021-07-29,AY.4
2021-07-26,AY.4
2021-07-30,AY.4
2021-07-29,AY.4
2021-07-30,AY.4
2021-07-30,AY.4
2021-07-30,AY.4
2021-07-27,AY.4
2021-07-30,AY.4
2021-07-30,B.1.617.2
2021-07-29,AY.4
2021-07-30,AY.4
2021-07-30,AY.4
2021-07-30,AY.4
2021-07-27,AY.4
2021-07-29,AY.98
2021-07-28,AY.4
2021-07-29,B.1.617.2
2021-07-30,AY.6
2021-07-26,AY.4
2021-07-30,AY.4
2021-07-30,AY.4
2021-07-29,AY.6
2021-07-29,AY.5
2021-07-26,AY.4
2021-07-25,AY.4
2021-07-29,AY.4
2021-07-27,AY.4
2021-07-30,AY.4
2021-07-29,AY.4
2021-07-29,AY.4
2021-07-30,AY.4
2021-07-28,AY.4
2021-07-27,AY.4
2021-07-29,AY.4
2021-07-26,AY.4
2021-09-19,AY.4
2021-09-19,AY.4
2021-09-19,AY.4
2021-09-18,AY.43
2021-09-19,AY.4
2021-09-17,AY.120
2021-09-19,AY.4
2021-09-17,AY.98
2021-09-19,AY.4
2021-09-17,AY.4
2021-09-19,AY.4
2021-09-19,AY.4
2021-09-18,AY.4
2021-09-18,AY.4
2021-09-18,AY.6
2021-09-12,AY.4
2021-09-17,AY.4.1
2021-09-18,AY.98
2021-09-19,AY.4
2021-09-17,AY.4
2021-09-17,AY.4
2021-09-19,AY.4
2021-09-19,AY.4
2021-09-15,AY.122
2021-09-22,AY.5
2021-09-21,AY.4
2021-09-21,AY.4
2021-09-21,AY.4
2021-09-21,AY.4
2021-09-20,AY.4
2021-09-21,AY.4
2021-09-21,AY.4
2021-09-21,AY.4
2021-09-21,AY.4
2021-09-21,AY.4
2021-09-21,AY.126
2021-09-21,AY.126
2021-09-21,AY.4
2021-09-22,AY.4
2021-09-21,AY.98
2021-09-21,AY.4
2021-09-22,AY.4
2021-09-22,AY.90
2021-09-22,AY.46.6
2021-09-22,AY.5
2021-09-22,AY.5
2021-09-22,AY.5
2021-09-22,AY.4
2021-09-22,AY.4
2021-09-21,AY.4
2021-09-21,AY.46.5
2021-09-21,AY.4
2021-09-21,AY.43
2021-09-21,AY.4.2
2021-09-21,AY.4.2
2021-09-21,AY.4
2021-09-20,AY.4
2021-09-21,AY.4
2021-09-22,AY.4
2021-09-21,AY.36
2021-09-21,AY.4
2021-09-22,AY.4.2
2021-09-21,AY.4.2
2021-09-21,AY.36
2021-09-22,AY.4
2021-09-22,AY.4
2021-09-22,AY.4
2021-09-21,AY.4
2021-09-21,AY.4
2021-09-20,AY.4.2
2021-09-21,AY.4
2021-09-21,AY.4
2021-09-21,AY.4
2021-09-22,AY.4
2021-09-22,AY.5
2021-09-22,AY.4
2021-09-22,AY.4
2021-09-21,AY.4
2021-09-22,AY.4.1
2021-09-23,AY.4
2021-09-23,AY.4
2021-09-21,AY.4
2021-09-21,AY.4
2021-09-22,AY.4
2021-09-23,AY.4
2021-09-21,AY.4
2021-09-23,AY.4
2021-09-22,AY.4
2021-09-22,AY.6
2021-09-21,AY.4
2021-09-22,AY.4
2021-09-22,AY.4.2
2021-09-21,AY.6
2021-09-22,AY.4
2021-09-21,AY.4
2021-09-22,AY.4
2021-09-21,AY.4
2021-09-20,AY.4
2021-09-19,AY.4
2021-09-23,AY.98
2021-09-19,AY.4
2021-09-20,AY.4
2021-09-23,AY.4
2021-09-21,AY.4
2021-09-22,AY.4
2021-09-21,AY.4
2021-09-20,AY.4
2021-09-21,AY.4
2021-09-18,AY.6
2021-09-20,AY.4
2021-09-22,AY.4
2021-09-21,AY.4
2021-09-22,AY.111
2021-09-22,AY.34
2021-09-23,AY.4.1
2021-09-21,AY.5
2021-09-16,AY.4
2021-09-18,AY.4
2021-09-20,AY.4
2021-09-20,AY.4.2
2021-09-21,AY.4
2021-09-21,AY.4
2021-09-19,AY.4.2
2021-09-19,AY.4
2021-09-20,AY.4.2.1
2021-09-20,AY.90
2021-09-21,AY.4
2021-09-21,AY.122
2021-09-20,AY.5
2021-09-21,AY.120
2021-09-21,AY.4.2.1
2021-09-23,AY.4
2021-09-23,AY.4
2021-09-21,AY.4
2021-09-20,AY.4
2021-09-21,AY.4
2021-09-20,AY.4
2021-09-21,AY.4
2021-09-21,AY.4
2021-09-22,AY.6
2021-09-21,AY.4
2021-09-22,AY.4
2021-09-21,AY.4
2021-09-22,AY.9
2021-09-21,AY.4
2021-09-21,AY.4
2021-09-22,AY.4
2021-09-21,AY.4.2
2021-09-21,AY.4
2021-09-22,AY.5
2021-09-21,AY.4
2021-09-22,AY.4.2
2021-09-22,AY.4
2021-09-22,AY.9
2021-09-20,AY.4.2
2021-09-21,AY.4
2021-09-20,AY.4.2
2021-09-21,AY.4
2021-09-21,AY.4
2021-09-22,AY.6
2021-09-22,AY.4
