collection_date,All,Holiday - B.1.177,Alpha - B.1.1.7,Delta - B.1.617.2,Omicron - BA.1,Omicron - BA.2,Omicron - BA.2.75,Omicron - BA.4&5,Omicron - BQ.1,Omicron - XBB
0,1.0,,,,,,,,,
1,1.0,,,,,,,,,
2,2.0,,,,,,,,,
3,1.0,,,,,,,,,
4,1.0,,,,,,,,,
5,1.0,,,,,,,,,
9,2.0,,,,,,,,,
10,2.0,,,,,,,,,
11,1.0,,,,,,,,,
14,2.0,,,,,,,,,
15,2.0,,,,,,,,,
16,3.0,,,,,,,,,
17,5.0,,,,,,,,,
18,2.0,,,,,,,,,
19,1.0,,,,,,,,,
21,1.0,,,,,,,,,
22,1.0,,,,,,,,,
24,6.0,,,,,,,,,
25,1.0,,,,,,,,,
26,5.0,,,,,,,,,
28,5.0,,,,,,,,,
31,2.0,,,,,,,,,
32,3.0,,,,,,,,,
35,1.0,,,,,,,,,
40,3.0,,,,,,,,,
45,1.0,,,,,,,,,
47,1.0,,,,,,,,,
49,1.0,,,,,,,,,
55,1.0,,,,,,,,,
67,1.0,,,,,,,,,
80,1.0,,,,,,,,,
110,1.0,,,,,,,,,
111,1.0,,,,,,,,,
112,6.0,,,,,,,,,
113,1.0,,,,,,,,,
116,1.0,,,,,,,,,
119,1.0,,,,,,,,,
121,1.0,,,,,,,,,
123,2.0,,,,,,,,,
125,1.0,,,,,,,,,
126,1.0,,,,,,,,,
128,3.0,,,,,,,,,
129,1.0,,,,,,,,,
131,4.0,,,,,,,,,
134,3.0,,,,,,,,,
135,9.0,1.0,,,,,,,,
136,2.0,0.0,,,,,,,,
137,,0.0,,,,,,,,
138,6.0,0.0,,,,,,,,
139,3.0,2.0,,,,,,,,
140,4.0,1.0,,,,,,,,
141,3.0,0.0,,,,,,,,
142,7.0,2.0,,,,,,,,
143,2.0,1.0,,,,,,,,
144,,0.0,,,,,,,,
145,3.0,2.0,,,,,,,,
146,6.0,3.0,,,,,,,,
147,2.0,0.0,,,,,,,,
148,3.0,1.0,,,,,,,,
149,2.0,0.0,,,,,,,,
150,10.0,2.0,,,,,,,,
151,7.0,3.0,,,,,,,,
152,9.0,1.0,,,,,,,,
153,15.0,6.0,,,,,,,,
154,5.0,2.0,,,,,,,,
155,6.0,2.0,,,,,,,,
156,23.0,3.0,,,,,,,,
157,54.0,20.0,,,,,,,,
158,32.0,13.0,,,,,,,,
159,15.0,9.0,,,,,,,,
160,23.0,11.0,,,,,,,,
